month,quarter,fiscal_year,month_number,is_actual_period,is_budget_period,is_forecast_period
2024-01-01,2024-Q1,2024,1,True,True,False
2024-02-01,2024-Q1,2024,2,True,True,False
2024-03-01,2024-Q1,2024,3,True,True,False
2024-04-01,2024-Q2,2024,4,True,True,False
2024-05-01,2024-Q2,2024,5,True,True,False
2024-06-01,2024-Q2,2024,6,True,True,False
2024-07-01,2024-Q3,2024,7,True,True,False
2024-08-01,2024-Q3,2024,8,True,True,False
2024-09-01,2024-Q3,2024,9,True,True,False
2024-10-01,2024-Q4,2024,10,True,True,False
2024-11-01,2024-Q4,2024,11,True,True,False
2024-12-01,2024-Q4,2024,12,True,True,False
2025-01-01,2025-Q1,2025,1,True,True,True
2025-02-01,2025-Q1,2025,2,True,True,True
2025-03-01,2025-Q1,2025,3,True,True,True
2025-04-01,2025-Q2,2025,4,True,True,True
2025-05-01,2025-Q2,2025,5,True,True,True
2025-06-01,2025-Q2,2025,6,True,True,True
2025-07-01,2025-Q3,2025,7,True,True,True
2025-08-01,2025-Q3,2025,8,True,True,True
2025-09-01,2025-Q3,2025,9,True,True,True
2025-10-01,2025-Q4,2025,10,True,True,True
2025-11-01,2025-Q4,2025,11,True,True,True
2025-12-01,2025-Q4,2025,12,True,True,True
