month,department_id,actual_headcount,budget_headcount,forecast_headcount,avg_comp_actual,avg_comp_budget,avg_comp_forecast
2024-01-01,SM,40,40,40,145631.4,145000.0,145000.0
2024-02-01,SM,41,41,41,145954.51,145000.0,145120.83
2024-03-01,SM,42,42,42,146567.44,145000.0,145241.67
2024-04-01,SM,42,42,42,145239.11,145000.0,145362.5
2024-05-01,SM,43,43,43,146534.93,145000.0,145483.33
2024-06-01,SM,44,44,44,146477.48,145000.0,145604.17
2024-07-01,SM,45,45,45,145634.66,145000.0,145725.0
2024-08-01,SM,45,45,45,147182.21,145000.0,145845.83
2024-09-01,SM,46,46,46,147251.57,145000.0,145966.67
2024-10-01,SM,47,47,47,146586.92,145000.0,146087.5
2024-11-01,SM,48,48,48,147107.19,145000.0,146208.33
2024-12-01,SM,49,49,49,147193.56,145000.0,146329.17
2025-01-01,SM,49,49,49,148023.4,145000.0,146450.0
2025-02-01,SM,50,50,50,147806.55,145000.0,146570.83
2025-03-01,SM,53,51,52,148398.02,145000.0,146691.67
2025-04-01,SM,54,52,53,148252.56,145000.0,146812.5
2025-05-01,SM,55,53,54,149041.5,145000.0,146933.33
2025-06-01,SM,55,53,54,150196.14,145000.0,147054.17
2025-07-01,SM,58,54,56,150013.43,145000.0,147175.0
2025-08-01,SM,59,55,57,148608.45,145000.0,147295.83
2025-09-01,SM,60,56,58,148745.5,145000.0,147416.67
2025-10-01,SM,60,56,58,149664.92,145000.0,147537.5
2025-11-01,SM,61,57,59,150267.78,145000.0,147658.33
2025-12-01,SM,62,58,60,151186.81,145000.0,147779.17
2024-01-01,RND,38,38,38,168119.21,168000.0,168000.0
2024-02-01,RND,39,39,39,167830.79,168000.0,168175.0
2024-03-01,RND,39,39,39,169461.47,168000.0,168350.0
2024-04-01,RND,40,40,40,169180.71,168000.0,168525.0
2024-05-01,RND,40,40,40,169062.01,168000.0,168700.0
2024-06-01,RND,41,41,41,171078.98,168000.0,168875.0
2024-07-01,RND,42,42,42,170433.33,168000.0,169050.0
2024-08-01,RND,42,42,42,169642.03,168000.0,169225.0
2024-09-01,RND,43,43,43,170827.86,168000.0,169400.0
2024-10-01,RND,43,43,43,171865.55,168000.0,169575.0
2024-11-01,RND,44,44,44,172500.48,168000.0,169750.0
2024-12-01,RND,45,45,45,172261.21,168000.0,169925.0
2025-01-01,RND,45,45,45,172885.07,168000.0,170100.0
2025-02-01,RND,46,46,46,172812.27,168000.0,170275.0
2025-03-01,RND,47,47,47,171537.88,168000.0,170450.0
2025-04-01,RND,47,47,47,173478.0,168000.0,170625.0
2025-05-01,RND,46,48,48,175491.85,168000.0,170800.0
2025-06-01,RND,46,48,48,173852.9,168000.0,170975.0
2025-07-01,RND,47,49,49,174581.97,168000.0,171150.0
2025-08-01,RND,48,50,50,174266.92,168000.0,171325.0
2025-09-01,RND,48,50,50,175147.97,168000.0,171500.0
2025-10-01,RND,49,51,51,173674.73,168000.0,171675.0
2025-11-01,RND,49,51,51,176366.14,168000.0,171850.0
2025-12-01,RND,50,52,52,177301.99,168000.0,172025.0
