month,starting_arr,new_arr,expansion_arr,contraction_arr,churned_arr,ending_arr,customers_start,new_customers,churned_customers,customers_end,arpa,logo_churn_rate,nrr,grr
2024-01-01,21000000.0,681243.56,206806.08,90000.0,260000.0,21538049.64,480,14,6,488,44135.35,0.0125,0.99318,0.98333
2024-02-01,21538049.64,631687.5,191812.5,90200.0,185647.5,22085702.14,488,14,6,496,44527.63,0.0123,0.9961,0.98719
2024-03-01,22085702.14,563000.0,171000.0,90400.0,186295.0,22543007.14,496,14,6,504,44728.19,0.0121,0.99521,0.98747
2024-04-01,22543007.14,493937.5,150062.5,90600.0,186942.5,22909464.64,504,14,6,512,44745.05,0.0119,0.99435,0.98769
2024-05-01,22909464.64,443457.41,134760.91,90800.0,187590.0,23209292.96,512,14,6,520,44633.26,0.01172,0.99373,0.98785
2024-06-01,23209292.96,425625.0,129375.0,91000.0,188237.5,23485055.46,520,14,6,528,44479.27,0.01154,0.99354,0.98797
2024-07-01,23485055.46,445807.89,135544.4,91200.0,265460.0,23709747.75,528,14,6,536,44234.6,0.01136,0.99058,0.98481
2024-08-01,23709747.75,499187.5,151812.5,91400.0,189532.5,24079815.25,536,14,6,544,44264.37,0.01119,0.99455,0.98815
2024-09-01,24079815.25,572000.0,174000.0,91600.0,190180.0,24544035.25,544,14,6,552,44463.83,0.01103,0.99552,0.9883
2024-10-01,24544035.25,645187.5,196312.5,91800.0,190827.5,25102907.75,552,14,6,560,44826.62,0.01087,0.99648,0.98848
2024-11-01,25102907.75,699491.15,212888.61,92000.0,191475.0,25731812.51,560,14,6,568,45302.49,0.01071,0.99719,0.98871
2024-12-01,25731812.51,720625.0,219375.0,92200.0,192122.5,26387490.01,568,14,6,576,45811.61,0.01056,0.99748,0.98895
2025-01-01,26387490.01,703140.67,214105.12,92400.0,270920.0,26941415.8,576,14,6,584,46132.56,0.01042,0.99435,0.98623
2025-02-01,26941415.8,651937.5,198562.5,92600.0,193417.5,27505898.3,584,14,6,592,46462.67,0.01027,0.99675,0.98938
2025-03-01,27505898.3,581000.0,177000.0,92800.0,194065.0,27977033.3,592,14,6,600,46628.39,0.01014,0.99601,0.98957
2025-04-01,27977033.3,509687.5,155312.5,93000.0,194712.5,28354320.8,600,14,6,608,46635.4,0.01,0.99527,0.98972
2025-05-01,28354320.8,457560.29,139461.87,93200.0,195360.0,28662782.96,608,14,6,616,46530.49,0.00987,0.99474,0.98982
2025-06-01,28662782.96,439125.0,133875.0,93400.0,196007.5,28946375.46,616,14,6,624,46388.42,0.00974,0.99457,0.9899
2025-07-01,28946375.46,459910.77,140245.36,93600.0,276380.0,29176551.59,624,14,6,632,46165.43,0.00962,0.99206,0.98722
2025-08-01,29176551.59,514937.5,157062.5,93800.0,197302.5,29557449.09,632,14,6,640,46183.51,0.00949,0.99541,0.99002
2025-09-01,29557449.09,590000.0,180000.0,94000.0,197950.0,30035499.09,640,14,6,648,46351.08,0.00938,0.99621,0.99012
2025-10-01,30035499.09,665437.5,203062.5,94200.0,198597.5,30611201.59,648,14,6,656,46663.42,0.00926,0.99701,0.99025
2025-11-01,30611201.59,721388.27,220187.65,94400.0,199245.0,31259132.51,656,14,6,664,47077.01,0.00915,0.9976,0.99041
2025-12-01,31259132.51,743125.0,226875.0,94600.0,199892.5,31934640.01,664,14,6,672,47521.79,0.00904,0.99784,0.99058
