month,starting_arr,new_arr,expansion_arr,contraction_arr,churned_arr,ending_arr,customers_start,new_customers,churned_customers,customers_end,arpa,logo_churn_rate,nrr,grr
2025-01-01,26352600.0,537540.0,176000.0,92400.0,229240.0,26744500.0,576,13,7,582,45952.75,0.01215,0.99447,0.98779
2025-02-01,26744500.0,538935.0,176500.0,92600.0,230010.0,27137325.0,582,13,7,588,46151.91,0.01203,0.99454,0.98794
2025-03-01,27137325.0,540330.0,177000.0,92800.0,230780.0,27531075.0,588,13,7,594,46348.61,0.0119,0.9946,0.98808
2025-04-01,27531075.0,541725.0,177500.0,93000.0,231550.0,27925750.0,594,13,7,600,46542.92,0.01178,0.99466,0.98821
2025-05-01,27925750.0,543120.0,178000.0,93200.0,232320.0,28321350.0,600,13,7,606,46734.9,0.01167,0.99472,0.98834
2025-06-01,28321350.0,544515.0,178500.0,93400.0,233090.0,28717875.0,606,13,7,612,46924.63,0.01155,0.99477,0.98847
2025-07-01,28717875.0,545910.0,179000.0,93600.0,233860.0,29115325.0,612,13,7,618,47112.18,0.01144,0.99483,0.9886
2025-08-01,29115325.0,547305.0,179500.0,93800.0,234630.0,29513700.0,618,13,7,624,47297.6,0.01133,0.99488,0.98872
2025-09-01,29513700.0,548700.0,180000.0,94000.0,235400.0,29913000.0,624,13,7,630,47480.95,0.01122,0.99494,0.98884
2025-10-01,29913000.0,550095.0,180500.0,94200.0,236170.0,30313225.0,630,13,7,636,47662.3,0.01111,0.99499,0.98896
2025-11-01,30313225.0,551490.0,181000.0,94400.0,236940.0,30714375.0,636,13,7,642,47841.71,0.01101,0.99504,0.98907
2025-12-01,30714375.0,552885.0,181500.0,94600.0,237710.0,31116450.0,642,13,7,648,48019.21,0.0109,0.99509,0.98918
