month,department_id,salary_budget,salary_actual,salary_variance,hc_impact,rate_impact,decomp_residual,favorable
2024-01-01,SM,483333.33,485438.0,2104.67,0.0,2104.67,0.0,False
2024-02-01,SM,495416.67,498677.91,3261.24,0.0,3261.24,0.0,False
2024-03-01,SM,507500.0,512986.04,5486.04,0.0,5486.04,0.0,False
2024-04-01,SM,507500.0,508336.88,836.88,0.0,836.88,0.0,False
2024-05-01,SM,519583.33,525083.5,5500.17,0.0,5500.17,0.0,False
2024-06-01,SM,531666.67,537084.09,5417.42,0.0,5417.43,-0.01,False
2024-07-01,SM,543750.0,546129.98,2379.98,0.0,2379.97,0.01,False
2024-08-01,SM,543750.0,551933.29,8183.29,0.0,8183.29,0.0,False
2024-09-01,SM,555833.33,564464.35,8631.02,0.0,8631.02,0.0,False
2024-10-01,SM,567916.67,574132.1,6215.43,0.0,6215.44,-0.01,False
2024-11-01,SM,580000.0,588428.76,8428.76,0.0,8428.76,0.0,False
2024-12-01,SM,592083.33,601040.37,8957.04,0.0,8957.04,0.0,False
2025-01-01,SM,592083.33,604428.88,12345.55,0.0,12345.55,0.0,False
2025-02-01,SM,604166.67,615860.62,11693.95,0.0,11693.96,-0.01,False
2025-03-01,SM,616250.0,655424.59,39174.59,24166.67,15007.92,-0.0,False
2025-04-01,SM,628333.33,667136.52,38803.19,24166.67,14636.52,0.0,False
2025-05-01,SM,640416.67,683106.88,42690.21,24166.67,18523.54,0.0,False
2025-06-01,SM,640416.67,688398.98,47982.31,24166.67,23815.64,0.0,False
2025-07-01,SM,652500.0,725064.91,72564.91,48333.33,24231.58,0.0,False
2025-08-01,SM,664583.33,730658.21,66074.88,48333.33,17741.55,0.0,False
2025-09-01,SM,676666.67,743727.5,67060.83,48333.33,18727.5,0.0,False
2025-10-01,SM,676666.67,748324.6,71657.93,48333.33,23324.6,-0.0,False
2025-11-01,SM,688750.0,763861.22,75111.22,48333.33,26777.88,0.01,False
2025-12-01,SM,700833.33,781131.85,80298.52,48333.33,31965.18,0.01,False
2024-01-01,RND,532000.0,532377.5,377.5,0.0,377.5,0.0,False
2024-02-01,RND,546000.0,545450.07,-549.93,0.0,-549.93,0.0,True
2024-03-01,RND,546000.0,550749.78,4749.78,0.0,4749.78,0.0,False
2024-04-01,RND,560000.0,563935.7,3935.7,0.0,3935.7,0.0,False
2024-05-01,RND,560000.0,563540.03,3540.03,0.0,3540.03,0.0,False
2024-06-01,RND,574000.0,584519.85,10519.85,0.0,10519.85,0.0,False
2024-07-01,RND,588000.0,596516.65,8516.65,0.0,8516.65,0.0,False
2024-08-01,RND,588000.0,593747.1,5747.1,0.0,5747.1,0.0,False
2024-09-01,RND,602000.0,612133.16,10133.16,0.0,10133.16,0.0,False
2024-10-01,RND,602000.0,615851.55,13851.55,0.0,13851.55,0.0,False
2024-11-01,RND,616000.0,632501.76,16501.76,0.0,16501.76,0.0,False
2024-12-01,RND,630000.0,645979.54,15979.54,0.0,15979.54,0.0,False
2025-01-01,RND,630000.0,648319.01,18319.01,0.0,18319.01,0.0,False
2025-02-01,RND,644000.0,662447.03,18447.03,0.0,18447.03,0.0,False
2025-03-01,RND,658000.0,671856.7,13856.7,0.0,13856.7,0.0,False
2025-04-01,RND,658000.0,679455.5,21455.5,0.0,21455.5,0.0,False
2025-05-01,RND,672000.0,672718.76,718.76,-28000.0,28718.76,0.0,False
2025-06-01,RND,672000.0,666436.12,-5563.88,-28000.0,22436.12,0.0,True
2025-07-01,RND,686000.0,683779.38,-2220.62,-28000.0,25779.38,0.0,True
2025-08-01,RND,700000.0,697067.68,-2932.32,-28000.0,25067.68,0.0,True
2025-09-01,RND,700000.0,700591.88,591.88,-28000.0,28591.88,0.0,False
2025-10-01,RND,714000.0,709171.81,-4828.19,-28000.0,23171.81,0.0,True
2025-11-01,RND,714000.0,720161.74,6161.74,-28000.0,34161.74,0.0,False
2025-12-01,RND,728000.0,738758.29,10758.29,-28000.0,38758.29,0.0,False
2024-01-01,GA,187500.0,186269.18,-1230.82,0.0,-1230.83,0.01,True
2024-02-01,GA,187500.0,187995.72,495.72,0.0,495.72,0.0,False
2024-03-01,GA,200000.0,199323.47,-676.53,0.0,-676.53,0.0,True
2024-04-01,GA,200000.0,200417.89,417.89,0.0,417.89,0.0,False
2024-05-01,GA,200000.0,203518.64,3518.64,0.0,3518.64,0.0,False
2024-06-01,GA,200000.0,201266.97,1266.97,0.0,1266.97,0.0,False
2024-07-01,GA,212500.0,212203.58,-296.42,0.0,-296.42,0.0,True
2024-08-01,GA,212500.0,214130.77,1630.77,0.0,1630.77,0.0,False
2024-09-01,GA,212500.0,214996.52,2496.52,0.0,2496.52,0.0,False
2024-10-01,GA,212500.0,213709.68,1209.68,0.0,1209.68,0.0,False
2024-11-01,GA,225000.0,226482.06,1482.06,0.0,1482.06,0.0,False
2024-12-01,GA,225000.0,227674.15,2674.15,0.0,2674.15,0.0,False
2025-01-01,GA,225000.0,227930.61,2930.61,0.0,2930.61,0.0,False
2025-02-01,GA,225000.0,227385.99,2385.99,0.0,2385.99,0.0,False
2025-03-01,GA,237500.0,240945.36,3445.36,0.0,3445.36,0.0,False
2025-04-01,GA,237500.0,241655.84,4155.84,0.0,4155.84,0.0,False
2025-05-01,GA,237500.0,241491.01,3991.01,0.0,3991.01,0.0,False
2025-06-01,GA,237500.0,241560.09,4060.09,0.0,4060.09,0.0,False
2025-07-01,GA,250000.0,255043.55,5043.55,0.0,5043.55,0.0,False
2025-08-01,GA,250000.0,254649.98,4649.98,0.0,4649.98,0.0,False
2025-09-01,GA,250000.0,253793.95,3793.95,0.0,3793.95,0.0,False
2025-10-01,GA,250000.0,256451.8,6451.8,0.0,6451.8,0.0,False
2025-11-01,GA,262500.0,270966.92,8466.92,0.0,8466.92,0.0,False
2025-12-01,GA,262500.0,270471.86,7971.86,0.0,7971.86,0.0,False
2024-01-01,CS,168000.0,168262.2,262.2,0.0,262.2,0.0,False
2024-02-01,CS,168000.0,168131.16,131.16,0.0,131.16,0.0,False
2024-03-01,CS,177333.33,178318.8,985.47,0.0,985.47,0.0,False
2024-04-01,CS,177333.33,177235.74,-97.59,0.0,-97.6,0.01,True
2024-05-01,CS,186666.67,188200.9,1534.23,0.0,1534.23,0.0,False
2024-06-01,CS,186666.67,187698.28,1031.61,0.0,1031.62,-0.01,False
2024-07-01,CS,186666.67,187353.12,686.45,0.0,686.45,0.0,False
2024-08-01,CS,196000.0,198326.42,2326.42,0.0,2326.41,0.01,False
2024-09-01,CS,196000.0,196838.6,838.6,0.0,838.6,0.0,False
2024-10-01,CS,205333.33,206128.89,795.56,0.0,795.56,0.0,False
2024-11-01,CS,205333.33,208217.09,2883.76,0.0,2883.76,0.0,False
2024-12-01,CS,205333.33,207721.18,2387.85,0.0,2387.84,0.01,False
2025-01-01,CS,214666.67,188418.07,-26248.6,-28000.0,1751.4,0.0,True
2025-02-01,CS,214666.67,189011.17,-25655.5,-28000.0,2344.5,0.0,True
2025-03-01,CS,214666.67,188116.33,-26550.34,-28000.0,1449.67,-0.01,True
2025-04-01,CS,224000.0,198790.76,-25209.24,-28000.0,2790.76,-0.0,True
2025-05-01,CS,224000.0,199238.9,-24761.1,-28000.0,3238.9,0.0,True
2025-06-01,CS,233333.33,207145.0,-26188.33,-28000.0,1811.66,0.01,True
2025-07-01,CS,233333.33,208864.26,-24469.07,-28000.0,3530.93,0.0,True
2025-08-01,CS,233333.33,208532.24,-24801.09,-28000.0,3198.91,0.0,True
2025-09-01,CS,242666.67,218035.67,-24631.0,-28000.0,3369.0,0.0,True
2025-10-01,CS,242666.67,218470.41,-24196.26,-28000.0,3803.74,0.0,True
2025-11-01,CS,252000.0,227429.42,-24570.58,-28000.0,3429.42,-0.0,True
2025-12-01,CS,252000.0,228833.42,-23166.58,-28000.0,4833.42,-0.0,True
