month,department_id,actual_headcount,budget_headcount,forecast_headcount,hc_var_vs_budget,hc_var_vs_forecast
2024-01-01,SM,40,40,40,0,0
2024-02-01,SM,41,41,41,0,0
2024-03-01,SM,42,42,42,0,0
2024-04-01,SM,42,42,42,0,0
2024-05-01,SM,43,43,43,0,0
2024-06-01,SM,44,44,44,0,0
2024-07-01,SM,45,45,45,0,0
2024-08-01,SM,45,45,45,0,0
2024-09-01,SM,46,46,46,0,0
2024-10-01,SM,47,47,47,0,0
2024-11-01,SM,48,48,48,0,0
2024-12-01,SM,49,49,49,0,0
2025-01-01,SM,49,49,49,0,0
2025-02-01,SM,50,50,50,0,0
2025-03-01,SM,53,51,52,2,1
2025-04-01,SM,54,52,53,2,1
2025-05-01,SM,55,53,54,2,1
2025-06-01,SM,55,53,54,2,1
2025-07-01,SM,58,54,56,4,2
2025-08-01,SM,59,55,57,4,2
2025-09-01,SM,60,56,58,4,2
2025-10-01,SM,60,56,58,4,2
2025-11-01,SM,61,57,59,4,2
2025-12-01,SM,62,58,60,4,2
2024-01-01,RND,38,38,38,0,0
2024-02-01,RND,39,39,39,0,0
2024-03-01,RND,39,39,39,0,0
2024-04-01,RND,40,40,40,0,0
2024-05-01,RND,40,40,40,0,0
2024-06-01,RND,41,41,41,0,0
2024-07-01,RND,42,42,42,0,0
2024-08-01,RND,42,42,42,0,0
2024-09-01,RND,43,43,43,0,0
2024-10-01,RND,43,43,43,0,0
2024-11-01,RND,44,44,44,0,0
2024-12-01,RND,45,45,45,0,0
2025-01-01,RND,45,45,45,0,0
2025-02-01,RND,46,46,46,0,0
2025-03-01,RND,47,47,47,0,0
2025-04-01,RND,47,47,47,0,0
2025-05-01,RND,46,48,48,-2,-2
2025-06-01,RND,46,48,48,-2,-2
2025-07-01,RND,47,49,49,-2,-2
2025-08-01,RND,48,50,50,-2,-2
2025-09-01,RND,48,50,50,-2,-2
2025-10-01,RND,49,51,51,-2,-2
2025-11-01,RND,49,51,51,-2,-2
2025-12-01,RND,50,52,52,-2,-2
2024-01-01,GA,15,15,15,0,0
2024-02-01,GA,15,15,15,0,0
2024-03-01,GA,16,16,16,0,0
2024-04-01,GA,16,16,16,0,0
2024-05-01,GA,16,16,16,0,0
2024-06-01,GA,16,16,16,0,0
2024-07-01,GA,17,17,17,0,0
2024-08-01,GA,17,17,17,0,0
2024-09-01,GA,17,17,17,0,0
2024-10-01,GA,17,17,17,0,0
2024-11-01,GA,18,18,18,0,0
2024-12-01,GA,18,18,18,0,0
2025-01-01,GA,18,18,18,0,0
2025-02-01,GA,18,18,18,0,0
2025-03-01,GA,19,19,19,0,0
2025-04-01,GA,19,19,19,0,0
2025-05-01,GA,19,19,19,0,0
2025-06-01,GA,19,19,19,0,0
2025-07-01,GA,20,20,20,0,0
2025-08-01,GA,20,20,20,0,0
2025-09-01,GA,20,20,20,0,0
2025-10-01,GA,20,20,20,0,0
2025-11-01,GA,21,21,21,0,0
2025-12-01,GA,21,21,21,0,0
2024-01-01,CS,18,18,18,0,0
2024-02-01,CS,18,18,18,0,0
2024-03-01,CS,19,19,19,0,0
2024-04-01,CS,19,19,19,0,0
2024-05-01,CS,20,20,20,0,0
2024-06-01,CS,20,20,20,0,0
2024-07-01,CS,20,20,20,0,0
2024-08-01,CS,21,21,21,0,0
2024-09-01,CS,21,21,21,0,0
2024-10-01,CS,22,22,22,0,0
2024-11-01,CS,22,22,22,0,0
2024-12-01,CS,22,22,22,0,0
2025-01-01,CS,20,23,21,-3,-1
2025-02-01,CS,20,23,21,-3,-1
2025-03-01,CS,20,23,21,-3,-1
2025-04-01,CS,21,24,22,-3,-1
2025-05-01,CS,21,24,22,-3,-1
2025-06-01,CS,22,25,23,-3,-1
2025-07-01,CS,22,25,23,-3,-1
2025-08-01,CS,22,25,23,-3,-1
2025-09-01,CS,23,26,24,-3,-1
2025-10-01,CS,23,26,24,-3,-1
2025-11-01,CS,24,27,25,-3,-1
2025-12-01,CS,24,27,25,-3,-1
