month,revenue,cogs,opex,gross_profit,gross_margin,operating_income,operating_margin,opex_pct_revenue,total_headcount,ending_arr,arr_per_head,revenue_per_head
2024-01-01,1913426.59,321462.13,2142030.78,1591964.46,0.83,-550066.32,-0.29,1.12,111,21458989.81,193324.23,206856.93
2024-02-01,1953291.81,322748.91,2189706.54,1630542.9,0.83,-559163.64,-0.29,1.12,113,21906076.3,193859.08,207429.22
2024-03-01,1994531.95,334175.94,2235317.99,1660356.01,0.83,-574961.98,-0.29,1.12,116,22368582.58,192832.61,206330.89
2024-04-01,2035292.3,350826.3,2235879.49,1684466.0,0.83,-551413.49,-0.27,1.1,117,22825708.08,195091.52,208747.93
2024-05-01,2073337.26,339003.05,2280316.44,1734334.21,0.84,-545982.23,-0.26,1.1,119,23252380.4,195398.15,209076.03
2024-06-01,2114102.77,351793.83,2300942.24,1762308.94,0.83,-538633.3,-0.25,1.09,121,23709563.76,195946.81,209663.08
2024-07-01,2154491.58,364648.59,2371537.39,1789842.99,0.83,-581694.4,-0.27,1.1,124,24162522.39,194859.05,208499.19
2024-08-01,2192295.38,373284.54,2372779.55,1819010.84,0.83,-553768.71,-0.25,1.08,125,24586490.24,196691.92,210460.36
2024-09-01,2231547.94,381484.39,2405704.1,1850063.55,0.83,-555640.55,-0.25,1.08,127,25026705.86,197060.68,210854.92
2024-10-01,2273170.19,383039.34,2448237.08,1890130.85,0.83,-558106.23,-0.25,1.08,129,25493497.39,197624.01,211457.69
2024-11-01,2310609.45,388591.2,2504775.26,1922018.25,0.83,-582757.01,-0.25,1.08,132,25913376.97,196313.46,210055.4
2024-12-01,2347419.92,389949.87,2528140.24,1957470.05,0.83,-570670.19,-0.24,1.08,134,26326204.71,196464.21,210216.71
2025-01-01,2377041.72,446021.72,2604420.22,1931020.0,0.81,-673400.22,-0.28,1.1,132,26658411.88,201957.67,216094.7
2025-02-01,2402841.94,444116.95,2642756.43,1958724.99,0.82,-684031.44,-0.28,1.1,134,26947760.06,201102.69,215179.88
2025-03-01,2431940.43,460998.78,2716689.85,1970941.65,0.81,-745748.2,-0.31,1.12,139,27274098.27,196216.53,209951.69
2025-04-01,2463082.57,458502.57,2748940.31,2004580.0,0.81,-744360.31,-0.3,1.12,141,27623355.98,195910.33,209624.05
2025-05-01,2492879.7,462145.18,2751080.82,2030734.52,0.81,-720346.3,-0.29,1.1,141,27957529.28,198280.35,212159.97
2025-06-01,2523603.77,478400.47,2891675.01,2045203.3,0.81,-846471.71,-0.34,1.15,142,28302098.35,199310.55,213262.29
2025-07-01,2551192.07,475020.9,2967799.11,2076171.17,0.81,-891627.94,-0.35,1.16,147,28611499.74,194636.05,208260.58
2025-08-01,2578994.57,490178.23,2873980.65,2088816.34,0.81,-785164.31,-0.3,1.11,149,28923303.65,194116.13,207704.26
2025-09-01,2604611.15,488666.55,2909387.82,2115944.6,0.81,-793443.22,-0.3,1.12,151,29210592.31,193447.63,206988.97
2025-10-01,2632179.62,489404.39,2940016.31,2142775.23,0.81,-797241.08,-0.3,1.12,152,29519771.35,194209.02,207803.65
2025-11-01,2660629.29,501879.37,2973770.1,2158749.92,0.81,-815020.18,-0.31,1.12,155,29838833.21,192508.6,205984.2
2025-12-01,2689834.44,496822.24,3024542.6,2193012.2,0.82,-831530.4,-0.31,1.12,157,30166367.54,192142.47,205592.44
