month,rev_b,rev_a,rev_variance,volume_impact,price_impact,decomp_residual,favorable
2024-01-01,1794837.47,1796834.6,1997.13,0.0,1997.13,0.0,True
2024-02-01,1840475.18,1842971.44,2496.26,0.0,2496.26,0.0,True
2024-03-01,1878583.93,1882844.21,4260.28,0.0,4260.28,0.0,True
2024-04-01,1909122.05,1914379.27,5257.22,0.0,5257.22,0.0,True
2024-05-01,1934107.75,1938401.52,4293.77,0.0,4293.77,0.0,True
2024-06-01,1957087.96,1962128.75,5040.79,0.0,5040.79,0.0,True
2024-07-01,1975812.31,1980620.91,4808.6,0.0,4808.6,0.0,True
2024-08-01,2006651.27,2009714.63,3063.36,0.0,3063.36,0.0,True
2024-09-01,2045336.27,2047719.07,2382.8,0.0,2382.8,0.0,True
2024-10-01,2091908.98,2095824.23,3915.25,0.0,3915.25,0.0,True
2024-11-01,2144317.71,2145227.43,909.72,0.0,909.72,0.0,True
2024-12-01,2198957.5,2195741.29,-3216.21,0.0,-3216.21,0.0,False
2025-01-01,2245117.98,2229411.14,-15706.84,-15377.52,-329.32,0.0,False
2025-02-01,2292158.19,2262003.43,-30154.76,-30975.11,820.35,0.0,False
2025-03-01,2331419.44,2290715.32,-40704.12,-46628.39,5924.27,-0.0,False
2025-04-01,2362860.07,2314136.23,-48723.84,-62180.53,13456.69,0.0,False
2025-05-01,2388565.25,2331351.06,-57214.19,-77550.82,20336.63,0.0,False
2025-06-01,2412197.96,2347582.1,-64615.86,-92776.84,28160.98,-0.0,False
2025-07-01,2431379.3,2354481.92,-76897.38,-107719.34,30821.96,-0.0,False
2025-08-01,2463120.76,2375140.38,-87980.38,-123156.04,35175.66,-0.0,False
2025-09-01,2502958.26,2400773.2,-102185.06,-139053.24,36868.18,-0.0,False
2025-10-01,2550933.47,2435409.27,-115524.2,-155544.72,40020.52,0.0,False
2025-11-01,2604927.71,2476174.96,-128752.75,-172615.69,43862.94,0.0,False
2025-12-01,2661220.0,2519467.25,-141752.75,-190087.14,48334.39,0.0,False
