month,starting_arr,new_arr,expansion_arr,contraction_arr,churned_arr,ending_arr,customers_start,new_customers,churned_customers,customers_end,arpa,logo_churn_rate,nrr,grr,ending_arr_calc,bridge_diff,nrr_ttm,grr_ttm
2024-01-01,21000000.0,581467.33,164558.33,92056.32,194979.53,21458989.81,480,14,6,488,43973.34,0.0125,0.99417,0.98633,21458989.81,0.0,,
2024-02-01,21458989.81,560011.7,173125.03,87203.74,198846.5,21906076.3,488,14,6,496,44165.48,0.0123,0.99474,0.98667,21906076.3,0.0,,
2024-03-01,21906076.3,585505.19,179690.56,89797.28,212892.19,22368582.58,496,14,6,504,44382.11,0.0121,0.99439,0.98618,22368582.58,0.0,,
2024-04-01,22368582.58,580213.53,174226.89,89312.06,208002.86,22825708.08,504,14,6,512,44581.46,0.0119,0.9945,0.98671,22825708.08,0.0,,
2024-05-01,22825708.08,533707.85,170340.01,90367.36,187008.18,23252380.4,512,14,6,520,44716.12,0.01172,0.99531,0.98785,23252380.4,0.0,,
2024-06-01,23252380.4,581983.88,169016.98,89903.11,203914.39,23709563.76,520,14,6,528,44904.48,0.01154,0.99463,0.98736,23709563.76,0.0,,
2024-07-01,23709563.76,597605.7,168347.48,95598.05,217396.5,24162522.39,528,14,6,536,45079.33,0.01136,0.9939,0.9868,24162522.39,0.0,,
2024-08-01,24162522.39,550804.79,174069.2,90693.47,210212.67,24586490.24,536,14,6,544,45195.75,0.01119,0.99475,0.98755,24586490.24,0.0,,
2024-09-01,24586490.24,571552.52,172311.35,92478.71,211169.54,25026705.86,544,14,6,552,45338.24,0.01103,0.99466,0.98765,25026705.86,0.0,,
2024-10-01,25026705.86,583379.19,178250.31,91281.67,203556.3,25493497.39,552,14,6,560,45524.1,0.01087,0.99534,0.98822,25493497.39,0.0,,
2024-11-01,25493497.39,545211.37,180736.73,95583.23,210485.29,25913376.97,560,14,6,568,45622.14,0.01071,0.99508,0.98799,25913376.97,0.0,,
2024-12-01,25913376.97,539446.48,172069.96,92562.62,206126.08,26326204.71,568,14,6,576,45705.22,0.01056,0.99511,0.98847,26326204.71,0.0,,
2025-01-01,26326204.71,508094.84,173807.37,97011.36,252683.68,26658411.88,576,12,8,580,45962.78,0.01389,0.99332,0.98672,26658411.88,0.0,0.92676,0.82742
2025-02-01,26658411.88,476490.56,176866.95,96147.04,267862.29,26947760.06,580,12,8,584,46143.42,0.01379,0.99298,0.98635,26947760.06,0.0,0.92487,0.82748
2025-03-01,26947760.06,483424.88,179985.99,94347.44,242725.22,27274098.27,584,12,8,588,46384.52,0.0137,0.99417,0.98749,27274098.27,0.0,0.92484,0.82943
2025-04-01,27274098.27,522291.49,180585.2,91581.84,262037.14,27623355.98,588,12,8,592,46661.07,0.01361,0.99366,0.98703,27623355.98,0.0,0.92416,0.83044
2025-05-01,27623355.98,495910.18,178862.32,93970.17,246629.03,27957529.28,592,12,8,596,46908.61,0.01351,0.99414,0.98767,27957529.28,0.0,0.92329,0.83107
2025-06-01,27957529.28,488399.09,185129.2,81152.75,247806.47,28302098.35,596,12,8,600,47170.16,0.01342,0.99486,0.98823,28302098.35,0.0,0.92388,0.83266
2025-07-01,28302098.35,492418.42,181694.86,95866.4,268845.49,28611499.74,600,12,8,604,47370.03,0.01333,0.99353,0.98711,28611499.74,0.0,0.92373,0.8337
2025-08-01,28611499.74,498314.86,180249.19,87852.76,278907.38,28923303.65,604,12,8,608,47571.22,0.01325,0.99348,0.98718,28923303.65,0.0,0.92269,0.8341
2025-09-01,28923303.65,477228.1,176821.22,96023.79,270736.87,29210592.31,608,12,8,612,47729.73,0.01316,0.99343,0.98732,29210592.31,0.0,0.92163,0.83439
2025-10-01,29210592.31,503040.63,183216.77,101456.92,275621.44,29519771.35,612,12,8,616,47921.71,0.01307,0.99336,0.98709,29519771.35,0.0,0.91993,0.83402
2025-11-01,29519771.35,503251.85,187756.55,98363.59,273582.95,29838833.21,616,12,8,620,48127.15,0.01299,0.99376,0.9874,29838833.21,0.0,0.91908,0.83447
2025-12-01,29838833.21,523551.75,165147.37,97187.34,263977.45,30166367.54,620,12,8,624,48343.54,0.0129,0.99343,0.9879,30166367.54,0.0,0.91772,0.83474
