month,department_id,actual,budget,forecast,var_ab_amount,oi_impact_ab,var_ab_pct,favorable_ab
2024-01-01,CORP,2234888.72,2232011.21,0.0,2877.51,508.99,0.0,True
2024-01-01,CS,210262.2,210000.0,0.0,262.2,-262.2,0.0,False
2024-01-01,GA,356358.9,357500.0,0.0,-1141.1,1141.1,-0.0,True
2024-01-01,RND,734824.37,735000.0,0.0,-175.63,175.63,-0.0,True
2024-01-01,SM,840585.31,845533.33,0.0,-4948.02,4948.02,-0.01,True
2024-02-01,CORP,2276040.72,2277931.92,0.0,-1891.2,6345.32,-0.0,True
2024-02-01,CS,210371.16,210240.0,0.0,131.16,-131.16,0.0,False
2024-02-01,GA,359513.02,358090.0,0.0,1423.02,-1423.02,0.0,False
2024-02-01,RND,753669.3,750270.0,0.0,3399.3,-3399.3,0.0,False
2024-02-01,SM,866153.06,861522.17,0.0,4630.89,-4630.89,0.01,False
2024-03-01,CORP,2328707.89,2323967.15,0.0,4740.74,3334.66,0.0,True
2024-03-01,CS,220798.8,219813.33,0.0,985.47,-985.47,0.0,False
2024-03-01,GA,370596.51,371180.0,0.0,-583.49,583.49,-0.0,True
2024-03-01,RND,760333.49,751540.0,0.0,8793.49,-8793.49,0.01,False
2024-03-01,SM,883589.19,877516.5,0.0,6072.69,-6072.69,0.01,False
2024-04-01,CORP,2386118.6,2370116.9,0.0,16001.7,-5460.78,0.01,False
2024-04-01,CS,219955.74,220053.33,0.0,-97.59,97.59,-0.0,True
2024-04-01,GA,373102.85,371770.0,0.0,1332.85,-1332.85,0.0,False
2024-04-01,RND,772621.15,766810.0,0.0,5811.15,-5811.15,0.01,False
2024-04-01,SM,870199.75,881433.0,0.0,-11233.25,11233.25,-0.01,True
2024-05-01,CORP,2412340.31,2416381.15,0.0,-4040.84,11420.36,-0.0,True
2024-05-01,CS,231160.9,229626.67,0.0,1534.23,-1534.23,0.01,False
2024-05-01,GA,376144.8,372360.0,0.0,3784.8,-3784.8,0.01,False
2024-05-01,RND,769260.92,768080.0,0.0,1180.92,-1180.92,0.0,False
2024-05-01,SM,903749.82,897438.33,0.0,6311.49,-6311.49,0.01,False
2024-06-01,CORP,2465896.6,2462759.93,0.0,3136.67,6326.37,0.0,True
2024-06-01,CS,230898.28,229866.67,0.0,1031.61,-1031.61,0.0,False
2024-06-01,GA,375106.93,372950.0,0.0,2156.93,-2156.93,0.01,False
2024-06-01,RND,785923.87,783350.0,0.0,2573.87,-2573.87,0.0,False
2024-06-01,SM,909013.16,913449.17,0.0,-4436.01,4436.01,-0.0,True
2024-07-01,CORP,2519140.17,2509253.23,0.0,9886.94,710.04,0.0,True
2024-07-01,CS,230793.12,230106.67,0.0,686.45,-686.45,0.0,False
2024-07-01,GA,385781.58,386040.0,0.0,-258.42,258.42,-0.0,True
2024-07-01,RND,807888.97,798620.0,0.0,9268.97,-9268.97,0.01,False
2024-07-01,SM,947073.72,929465.5,0.0,17608.22,-17608.22,0.02,False
2024-08-01,CORP,2565579.92,2555861.03,0.0,9718.89,-3354.13,0.0,False
2024-08-01,CS,242006.42,239680.0,0.0,2326.42,-2326.42,0.01,False
2024-08-01,GA,386221.36,386630.0,0.0,-408.64,408.64,-0.0,True
2024-08-01,RND,800074.55,799890.0,0.0,184.55,-184.55,0.0,False
2024-08-01,SM,944477.22,933404.0,0.0,11073.22,-11073.22,0.01,False
2024-09-01,CORP,2613032.33,2602583.36,0.0,10448.97,-5615.09,0.0,False
2024-09-01,CS,240758.6,239920.0,0.0,838.6,-838.6,0.0,False
2024-09-01,GA,389020.0,387220.0,0.0,1800.0,-1800.0,0.0,False
2024-09-01,RND,822692.67,815160.0,0.0,7532.67,-7532.67,0.01,False
2024-09-01,SM,953232.83,949431.33,0.0,3801.5,-3801.5,0.0,False
2024-10-01,CORP,2656209.53,2649420.2,0.0,6789.33,1056.87,0.0,True
2024-10-01,CS,250288.89,249493.33,0.0,795.56,-795.56,0.0,False
2024-10-01,GA,388964.8,387810.0,0.0,1154.8,-1154.8,0.0,False
2024-10-01,RND,828794.3,816430.0,0.0,12364.3,-12364.3,0.02,False
2024-10-01,SM,980189.09,965464.17,0.0,14724.92,-14724.92,0.02,False
2024-11-01,CORP,2699200.65,2696371.55,0.0,2829.1,-532.7,0.0,False
2024-11-01,CS,252617.09,249733.33,0.0,2883.76,-2883.76,0.01,False
2024-11-01,GA,404356.13,400900.0,0.0,3456.13,-3456.13,0.01,False
2024-11-01,RND,850003.71,831700.0,0.0,18303.71,-18303.71,0.02,False
2024-11-01,SM,997798.33,981502.5,0.0,16295.83,-16295.83,0.02,False
2024-12-01,CORP,2737369.79,2743437.42,0.0,-6067.63,1360.47,-0.0,True
2024-12-01,CS,252361.18,249973.33,0.0,2387.85,-2387.85,0.01,False
2024-12-01,GA,403303.97,401490.0,0.0,1813.97,-1813.97,0.0,False
2024-12-01,RND,857165.81,846970.0,0.0,10195.81,-10195.81,0.01,False
2024-12-01,SM,1015309.28,997546.33,0.0,17762.95,-17762.95,0.02,False
2025-01-01,CORP,2823063.44,2790617.82,2804740.29,32445.62,-58729.86,0.01,False
2025-01-01,CS,242005.27,259546.67,244418.4,-17541.4,17541.4,-0.07,True
2025-01-01,GA,405410.06,402080.0,403486.25,3330.06,-3330.06,0.01,False
2025-01-01,RND,923387.53,848240.0,880415.0,75147.53,-75147.53,0.09,False
2025-01-01,SM,1033617.36,1001512.33,1026566.67,32105.03,-32105.03,0.03,False
2025-02-01,CORP,2846958.89,2837912.71,2845936.5,9046.18,-64746.8,0.0,False
2025-02-01,CS,242883.97,259786.67,244753.27,-16902.7,16902.7,-0.07,True
2025-02-01,GA,404976.58,402670.0,404193.43,2306.58,-2306.58,0.01,False
2025-02-01,RND,934768.23,863510.0,896680.83,71258.23,-71258.23,0.08,False
2025-02-01,SM,1060127.65,1017567.17,1043058.41,42560.48,-42560.48,0.04,False
2025-03-01,CORP,2892939.21,2885322.13,2887229.73,7617.08,-86333.72,0.0,False
2025-03-01,CS,242274.73,260026.67,245088.13,-17751.94,17751.94,-0.07,True
2025-03-01,GA,418596.88,415760.0,417491.77,2836.88,-2836.88,0.01,False
2025-03-01,RND,962351.24,878780.0,912975.83,83571.24,-83571.24,0.1,False
2025-03-01,SM,1093467.0,1033627.5,1071799.28,59839.5,-59839.5,0.06,False
2025-04-01,CORP,2921585.14,2932846.07,2928619.94,-11260.93,-86580.61,-0.0,False
2025-04-01,CS,253234.76,269600.0,254814.67,-16365.24,16365.24,-0.06,True
2025-04-01,GA,418300.53,416350.0,418205.48,1950.53,-1950.53,0.0,False
2025-04-01,RND,960535.31,880050.0,915081.25,80485.31,-80485.31,0.09,False
2025-04-01,SM,1116869.71,1049693.33,1088350.63,67176.38,-67176.38,0.06,False
2025-05-01,CORP,2955024.88,2980484.51,2970107.18,-25459.63,-94392.97,-0.01,False
2025-05-01,CS,253968.5,269840.0,255153.43,-15871.5,15871.5,-0.06,True
2025-05-01,GA,420736.78,416940.0,418919.17,3796.78,-3796.78,0.01,False
2025-05-01,RND,945109.14,895320.0,931420.0,49789.14,-49789.14,0.06,False
2025-05-01,SM,1131266.4,1065764.67,1104926.73,65501.73,-65501.73,0.06,False
2025-06-01,CORP,3002004.24,3028237.47,3011691.42,-26233.23,-113972.73,-0.01,False
2025-06-01,CS,262160.2,279413.33,264891.62,-17253.13,17253.13,-0.06,True
2025-06-01,GA,534906.29,417530.0,448672.86,117376.29,-117376.29,0.28,False
2025-06-01,RND,940884.94,896590.0,933540.0,44294.94,-44294.94,0.05,False
2025-06-01,SM,1153723.58,1069758.17,1109273.14,83965.41,-83965.41,0.08,False
2025-07-01,CORP,3026212.97,3076104.95,3053372.66,-49891.98,-117135.06,-0.02,False
2025-07-01,CS,264165.06,279653.33,265234.27,-15488.27,15488.27,-0.06,True
2025-07-01,GA,549486.58,430620.0,462123.75,118866.58,-118866.58,0.28,False
2025-07-01,RND,970758.09,911860.0,949922.5,58898.09,-58898.09,0.06,False
2025-07-01,SM,1183389.38,1085840.5,1138153.29,97548.88,-97548.88,0.09,False
2025-08-01,CORP,3069172.8,3124086.94,3095150.92,-54914.14,-138701.72,-0.02,False
2025-08-01,CS,264118.64,279893.33,265576.92,-15774.69,15774.69,-0.06,True
2025-08-01,GA,435833.63,431210.0,433683.97,4623.63,-4623.63,0.01,False
2025-08-01,RND,975609.68,927130.0,966334.17,48479.68,-48479.68,0.05,False
2025-08-01,SM,1198418.7,1101928.33,1154803.69,96490.37,-96490.37,0.09,False
2025-09-01,CORP,3093277.7,3172183.45,3137026.16,-78905.75,-145866.95,-0.02,False
2025-09-01,CS,273907.67,289466.67,275330.66,-15559.0,15559.0,-0.05,True
2025-09-01,GA,434848.64,431800.0,434404.17,3048.64,-3048.64,0.01,False
2025-09-01,RND,990945.9,928400.0,968483.33,62545.9,-62545.9,0.07,False
2025-09-01,SM,1209685.61,1118021.67,1171478.91,91663.94,-91663.94,0.08,False
2025-10-01,CORP,3121584.01,3220394.48,3178998.43,-98810.47,-153411.47,-0.03,False
2025-10-01,CS,274628.01,289706.67,275677.2,-15078.66,15078.66,-0.05,True
2025-10-01,GA,438506.42,432390.0,435124.37,6116.42,-6116.42,0.01,False
2025-10-01,RND,1008599.97,943670.0,984938.75,64929.97,-64929.97,0.07,False
2025-10-01,SM,1218281.91,1122037.17,1175884.04,96244.74,-96244.74,0.09,False
2025-11-01,CORP,3162508.66,3268720.02,3221067.7,-106211.36,-171893.56,-0.03,False
2025-11-01,CS,283872.62,299280.0,285442.63,-15407.38,15407.38,-0.05,True
2025-11-01,GA,454952.3,445480.0,448487.81,9472.3,-9472.3,0.02,False
