month,statement_line,actual,budget,forecast,var_ab_amount,oi_impact_ab,var_ab_pct,favorable_ab
2024-01-01,Cost of Revenue,321462.13,320277.87,0.0,1184.26,-1184.26,0.0,False
2024-01-01,Operating Expenses,2142030.78,2148033.33,0.0,-6002.55,6002.55,-0.0,True
2024-01-01,Revenue,1913426.59,1911733.34,0.0,1693.25,1693.25,0.0,True
2024-02-01,Cost of Revenue,322748.91,326867.17,0.0,-4118.26,4118.26,-0.01,True
2024-02-01,Operating Expenses,2189706.54,2180122.17,0.0,9584.37,-9584.37,0.0,False
2024-02-01,Revenue,1953291.81,1951064.75,0.0,2227.06,2227.06,0.0,True
2024-03-01,Cost of Revenue,334175.94,333472.9,0.0,703.04,-703.04,0.0,False
2024-03-01,Operating Expenses,2235317.99,2220049.83,0.0,15268.16,-15268.16,0.01,False
2024-03-01,Revenue,1994531.95,1990494.25,0.0,4037.7,4037.7,0.0,True
2024-04-01,Cost of Revenue,350826.3,340095.06,0.0,10731.24,-10731.24,0.03,False
2024-04-01,Operating Expenses,2235879.49,2240066.33,0.0,-4186.84,4186.84,-0.0,True
2024-04-01,Revenue,2035292.3,2030021.84,0.0,5270.46,5270.46,0.0,True
2024-05-01,Cost of Revenue,339003.05,346733.65,0.0,-7730.6,7730.6,-0.02,True
2024-05-01,Operating Expenses,2280316.44,2267505.0,0.0,12811.44,-12811.44,0.01,False
2024-05-01,Revenue,2073337.26,2069647.5,0.0,3689.76,3689.76,0.0,True
2024-06-01,Cost of Revenue,351793.83,353388.68,0.0,-1594.85,1594.85,-0.0,True
2024-06-01,Operating Expenses,2300942.24,2299615.84,0.0,1326.4,-1326.4,0.0,False
2024-06-01,Revenue,2114102.77,2109371.25,0.0,4731.52,4731.52,0.0,True
2024-07-01,Cost of Revenue,364648.59,360060.14,0.0,4588.45,-4588.45,0.01,False
2024-07-01,Operating Expenses,2371537.39,2344232.17,0.0,27305.22,-27305.22,0.01,False
2024-07-01,Revenue,2154491.58,2149193.09,0.0,5298.49,5298.49,0.0,True
2024-08-01,Cost of Revenue,373284.54,366748.03,0.0,6536.51,-6536.51,0.02,False
2024-08-01,Operating Expenses,2372779.55,2359604.0,0.0,13175.55,-13175.55,0.01,False
2024-08-01,Revenue,2192295.38,2189113.0,0.0,3182.38,3182.38,0.0,True
2024-09-01,Cost of Revenue,381484.39,373452.36,0.0,8032.03,-8032.03,0.02,False
2024-09-01,Operating Expenses,2405704.1,2391731.33,0.0,13972.77,-13972.77,0.01,False
2024-09-01,Revenue,2231547.94,2229131.0,0.0,2416.94,2416.94,0.0,True
2024-10-01,Cost of Revenue,383039.34,380173.11,0.0,2866.23,-2866.23,0.01,False
2024-10-01,Operating Expenses,2448237.08,2419197.5,0.0,29039.58,-29039.58,0.01,False
2024-10-01,Revenue,2273170.19,2269247.09,0.0,3923.1,3923.1,0.0,True
2024-11-01,Cost of Revenue,388591.2,386910.3,0.0,1680.9,-1680.9,0.0,False
2024-11-01,Operating Expenses,2504775.26,2463835.83,0.0,40939.43,-40939.43,0.02,False
2024-11-01,Revenue,2310609.45,2309461.25,0.0,1148.2,1148.2,0.0,True
2024-12-01,Cost of Revenue,389949.87,393663.92,0.0,-3714.05,3714.05,-0.01,True
2024-12-01,Operating Expenses,2528140.24,2495979.66,0.0,32160.58,-32160.58,0.01,False
2024-12-01,Revenue,2347419.92,2349773.5,0.0,-2353.58,-2353.58,-0.0,False
2025-01-01,Cost of Revenue,446021.72,400433.98,420022.38,45587.74,-45587.74,0.11,False
2025-01-01,Operating Expenses,2604420.22,2511379.0,2554886.32,93041.22,-93041.22,0.04,False
2025-01-01,Revenue,2377041.72,2390183.84,2384717.91,-13142.12,-13142.12,-0.01,False
2025-02-01,Cost of Revenue,444116.95,407220.46,426191.69,36896.49,-36896.49,0.09,False
2025-02-01,Operating Expenses,2642756.43,2543533.84,2588685.94,99222.59,-99222.59,0.04,False
2025-02-01,Revenue,2402841.94,2430692.25,2419744.81,-27850.31,-27850.31,-0.01,False
2025-03-01,Cost of Revenue,460998.78,414023.38,432375.54,46975.4,-46975.4,0.11,False
2025-03-01,Operating Expenses,2716689.85,2588194.17,2647355.01,128495.68,-128495.68,0.05,False
2025-03-01,Revenue,2431940.43,2471298.75,2454854.19,-39358.32,-39358.32,-0.02,False
2025-04-01,Cost of Revenue,458502.57,420842.73,438573.9,37659.84,-37659.84,0.09,False
2025-04-01,Operating Expenses,2748940.31,2615693.33,2676452.03,133246.98,-133246.98,0.05,False
2025-04-01,Revenue,2463082.57,2512003.34,2490046.04,-48920.77,-48920.77,-0.02,False
2025-05-01,Cost of Revenue,462145.18,427678.51,444786.8,34466.67,-34466.67,0.08,False
2025-05-01,Operating Expenses,2751080.82,2647864.67,2710419.33,103216.15,-103216.15,0.04,False
2025-05-01,Revenue,2492879.7,2552806.0,2525320.38,-59926.3,-59926.3,-0.02,False
2025-06-01,Cost of Revenue,478400.47,434530.72,451014.23,43869.75,-43869.75,0.1,False
2025-06-01,Operating Expenses,2891675.01,2663291.5,2756377.62,228383.51,-228383.51,0.09,False
2025-06-01,Revenue,2523603.77,2593706.75,2560677.19,-70102.98,-70102.98,-0.03,False
2025-07-01,Cost of Revenue,475020.9,441399.36,457256.18,33621.54,-33621.54,0.08,False
2025-07-01,Operating Expenses,2967799.11,2707973.83,2815433.81,259825.28,-259825.28,0.1,False
2025-07-01,Revenue,2551192.07,2634705.59,2596116.48,-83513.52,-83513.52,-0.03,False
2025-08-01,Cost of Revenue,490178.23,448284.44,463512.67,41893.79,-41893.79,0.09,False
2025-08-01,Operating Expenses,2873980.65,2740161.66,2820398.75,133818.99,-133818.99,0.05,False
2025-08-01,Revenue,2578994.57,2675802.5,2631638.25,-96807.93,-96807.93,-0.04,False
2025-09-01,Cost of Revenue,488666.55,455185.95,469783.66,33480.6,-33480.6,0.07,False
2025-09-01,Operating Expenses,2909387.82,2767688.34,2849697.07,141699.48,-141699.48,0.05,False
2025-09-01,Revenue,2604611.15,2716997.5,2667242.5,-112386.35,-112386.35,-0.04,False
2025-10-01,Cost of Revenue,489404.39,462103.89,476069.2,27300.5,-27300.5,0.06,False
2025-10-01,Operating Expenses,2940016.31,2787803.84,2871624.36,152212.47,-152212.47,0.05,False
2025-10-01,Revenue,2632179.62,2758290.59,2702929.23,-126110.97,-126110.97,-0.05,False
2025-11-01,Cost of Revenue,501879.37,469038.27,482369.26,32841.1,-32841.1,0.07,False
2025-11-01,Operating Expenses,2973770.1,2827841.5,2913631.61,145928.6,-145928.6,0.05,False
2025-11-01,Revenue,2660629.29,2799681.75,2738698.44,-139052.46,-139052.46,-0.05,False
2025-12-01,Cost of Revenue,496822.24,475989.08,488683.85,20833.16,-20833.16,0.04,False
2025-12-01,Operating Expenses,3024542.6,2860051.33,2947947.35,164491.27,-164491.27,0.06,False
2025-12-01,Revenue,2689834.44,2841171.0,2774550.13,-151336.56,-151336.56,-0.05,False
