month,department_id,account_id,actual,budget,forecast,account_name,account_category,statement_line,favorable_direction,is_revenue,is_cogs,is_opex,is_expense,oi_sign,var_ab_amount,oi_impact_ab,favorable_ab,var_ab_pct,ab_pct_meaningful,var_af_amount,oi_impact_af,favorable_af,var_af_pct,actual_mom_amount,actual_mom_pct,fiscal_year,month_number,actual_ytd,budget_ytd,var_ab_ytd_amount,oi_impact_ytd,group_total_oi_impact_ab,contribution_to_oi_co,materiality_rank_co,contribution_to_oi_ab,materiality_rank
2024-01-01,CORP,COGS_HOST,206502.08,206406.31,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,95.77,-95.77,False,0.00046,True,,,,,,,2024,1,206502.08,206406.31,95.77,-95.77,874.02,-0.01398,13,-0.10957,4
2024-02-01,CORP,COGS_HOST,208305.28,211654.65,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,-3349.37,3349.37,True,-0.01582,True,,,,,1803.2,0.00873,2024,2,414807.36,418060.96,-3253.6,3253.6,6757.85,-1.17463,1,0.49563,1
2024-03-01,CORP,COGS_HOST,215338.66,216037.15,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,-698.49,698.49,True,-0.00323,True,,,,,7033.38,0.03376,2024,3,630146.02,634098.11,-3952.09,3952.09,3767.94,-0.06058,7,0.18538,3
2024-04-01,CORP,COGS_HOST,227602.02,219549.04,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,8052.98,-8052.98,False,0.03668,True,,,,,12263.36,0.05695,2024,4,857748.04,853647.15,4100.89,-4100.89,-5228.8,7.58384,2,1.54012,1
2024-05-01,CORP,COGS_HOST,215193.24,222422.39,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,-7229.15,7229.15,True,-0.0325,True,,,,,-12408.78,-0.05452,2024,5,1072941.28,1076069.54,-3128.26,3128.26,12176.43,-10.54212,1,0.5937,1
2024-06-01,CORP,COGS_HOST,224592.62,225065.11,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,-472.49,472.49,True,-0.0021,True,,,,,9399.38,0.04368,2024,6,1297533.9,1301134.65,-3600.75,3600.75,6861.04,0.08595,11,0.06887,3
2024-07-01,CORP,COGS_HOST,229474.97,227218.42,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,2256.55,-2256.55,False,0.00993,True,,,,,4882.35,0.02174,2024,7,1527008.87,1528353.07,-1344.2,1344.2,642.95,0.04516,6,-3.50968,2
2024-08-01,CORP,COGS_HOST,232557.62,230764.9,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,1792.72,-1792.72,False,0.00777,True,,,,,3082.65,0.01343,2024,8,1759566.49,1759117.97,448.52,-448.52,-3159.94,0.04506,11,0.56733,3
2024-09-01,CORP,COGS_HOST,240203.95,235213.67,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,4990.28,-4990.28,False,0.02122,True,,,,,7646.33,0.03288,2024,9,1999770.44,1994331.64,5438.8,-5438.8,-5366.29,0.16861,5,0.92993,1
2024-10-01,CORP,COGS_HOST,242214.81,240569.53,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,1645.28,-1645.28,False,0.00684,True,,,,,2010.86,0.00837,2024,10,2241985.25,2234901.17,7084.08,-7084.08,1308.26,0.04448,8,-1.25761,2
