month,actual,budget,forecast,var_ab_amount,oi_impact_ab,var_ab_pct,favorable_ab
2024-01-01,4388164.41,4390742.24,0.0,-2577.83,6851.69,-0.0,True
2024-02-01,4488570.62,4480377.2,0.0,8193.42,-2851.42,0.0,False
2024-03-01,4588634.55,4567988.13,0.0,20646.42,-11529.42,0.0,False
2024-04-01,4638082.78,4625770.46,0.0,12312.32,-1061.86,0.0,False
2024-05-01,4693574.33,4683699.91,0.0,9874.42,-685.74,0.0,False
2024-06-01,4748960.09,4743670.32,0.0,5289.77,5497.51,0.0,True
2024-07-01,4870822.77,4810568.7,0.0,60254.07,-49963.67,0.01,False
2024-08-01,4910419.67,4864078.25,0.0,46341.42,-39785.84,0.01,False
2024-09-01,4979305.34,4944610.3,0.0,34695.04,-29595.86,0.01,False
2024-10-01,5076168.04,5030802.75,0.0,45365.29,-36986.65,0.01,False
2024-11-01,5194590.2,5141802.74,0.0,52787.46,-50840.66,0.01,False
2024-12-01,5291967.85,5243223.76,0.0,48744.09,-55626.79,0.01,False
2025-01-01,5437928.11,5316793.17,5372877.57,121134.94,-154747.58,0.02,False
2025-02-01,5511354.8,5408264.37,5459594.53,103090.43,-167621.61,0.02,False
2025-03-01,5633365.99,5502050.89,5561458.52,131315.1,-218421.92,0.02,False
2025-04-01,5686669.51,5568431.49,5623976.03,118238.02,-222507.02,0.02,False
2025-05-01,5708166.43,5631969.61,5684191.01,76196.82,-198635.2,0.01,False
2025-06-01,5879168.96,5676044.3,5753794.57,203124.66,-341402.6,0.04,False
2025-07-01,5954531.18,5743541.0,5829579.55,210990.18,-375550.58,0.04,False
2025-08-01,5896474.25,5814982.15,5868274.25,81492.1,-269770.1,0.01,False
2025-09-01,5958322.04,5892356.48,5941387.61,65965.56,-284641.6,0.01,False
2025-10-01,6029063.81,5972968.5,6017267.27,56095.31,-303317.09,0.01,False
2025-11-01,6122484.93,6081377.66,6120720.66,41107.27,-316638.15,0.01,False
2025-12-01,6218611.5,6184962.23,6219333.53,33649.27,-337000.15,0.01,False
